API_gravity,Viscosity_100F
20.0,57.44433454967659
20.303030303030305,54.11963101598308
20.606060606060606,51.00512927845426
20.90909090909091,48.086623137961034
21.21212121212121,45.35092075713506
21.515151515151516,42.78576874354495
21.81818181818182,40.37978215411532
22.12121212121212,38.12237994160879
22.424242424242426,36.00372540408445
22.727272727272727,34.01467123488093
23.03030303030303,32.14670880415416
23.333333333333332,30.39192133361223
23.636363636363637,28.742940654079337
23.939393939393938,27.19290726112358
24.242424242424242,25.735433407408067
24.545454545454547,24.364568991859315
24.848484848484848,23.074770025368373
25.151515151515152,21.860869470705712
25.454545454545453,20.718050270782918
25.757575757575758,19.641820394465686
26.060606060606062,18.6279897429523
26.363636363636363,17.67264877238816
26.666666666666668,16.77214869998912
26.96969696969697,15.923083171585997
27.272727272727273,15.122271278260241
27.575757575757578,14.366741818693077
27.87878787878788,13.653718712064917
28.18181818181818,12.980607473882394
28.484848484848484,12.344982674032776
28.78787878787879,11.744576302722201
29.090909090909093,11.177266975794103
29.393939393939394,10.64106991628848
29.696969696969695,10.134127654033678
30.0,9.654701389593592
30.303030303030305,9.201162973061153
30.606060606060606,8.771987452020088
30.90909090909091,8.365746146523259
31.21212121212121,7.98110021217866
31.515151515151516,7.616794655419626
31.81818181818182,7.271652767784134
32.121212121212125,6.944570948557827
32.42424242424242,6.634513887466486
32.72727272727273,6.340510081249959
33.03030303030303,6.06164765992826
33.333333333333336,5.797070500393373
33.63636363636364,5.545974606641384
33.93939393939394,5.307604737509369
34.24242424242424,5.0812512642109375
34.54545454545455,4.866247241283059
34.84848484848485,4.661965675773887
35.151515151515156,4.467816980624166
35.45454545454545,4.283246599232
35.75757575757576,4.107732789148137
36.06060606060606,3.9407845537332897
36.36363636363636,3.781939711425995
36.66666666666667,3.630763093024653
36.96969696969697,3.4868448580850284
37.27272727272727,3.349798922179688
37.57575757575758,3.219261487362463
37.878787878787875,3.0948896687326535
38.18181818181819,2.976360210504303
38.484848484848484,2.8633682854580833
38.78787878787879,2.7556263720906116
39.09090909090909,2.652863204180849
39.39393939393939,2.554822787867702
39.6969696969697,2.461263481680541
40.0,2.371957135285547
40.303030303030305,2.286688283008981
40.60606060606061,2.205253388474664
40.90909090909091,2.127460136948897
41.21212121212121,2.053126772223565
41.515151515151516,1.9820814750883748
41.81818181818182,1.9141617806473192
42.121212121212125,1.849214031924168
42.42424242424242,1.7870928673776147
42.72727272727273,1.727660740109974
43.03030303030303,1.6707874667050806
43.333333333333336,1.6163498037717015
43.63636363636364,1.5642310503997252
43.93939393939394,1.514320674857814
44.24242424242424,1.4665139639742857
44.54545454545455,1.4207116937478472
44.848484848484844,1.3768198198325505
45.151515151515156,1.3347491866320103
45.45454545454545,1.2944152538224818
45.75757575757576,1.2557378392028407
46.06060606060606,1.2186408768427024
46.36363636363636,1.1830521895679362
46.66666666666667,1.1489032748861392
46.96969696969697,1.11612910351373
47.27272727272727,1.0846679297211133
47.57575757575758,1.0544611127637011
47.878787878787875,1.0254529487141848
48.18181818181819,0.9975905120558641
48.484848484848484,0.9708235064384252
48.78787878787879,0.9451041240359844
49.09090909090909,0.9203869129834411
49.39393939393939,0.8966286524006407
49.6969696969697,0.8737882345452952
50.0,0.8518265536648357
