Porosity,Tortuosity
0.01,7.727272727272727
0.02,7.083333333333332
0.03,6.538461538461538
0.04,6.07142857142857
0.05,5.666666666666666
0.060000000000000005,5.3125
0.06999999999999999,5.0
0.08,4.722222222222222
0.09,4.473684210526316
0.09999999999999999,4.25
0.11,4.0476190476190474
0.12,3.8636363636363633
0.13,3.695652173913043
0.14,3.541666666666666
0.15000000000000002,3.4
0.16,3.269230769230769
0.17,3.148148148148148
0.18000000000000002,3.035714285714285
0.19,2.93103448275862
0.2,2.833333333333333
0.21000000000000002,2.741935483870967
0.22,2.65625
0.23,2.5757575757575757
0.24000000000000002,2.4999999999999996
0.25,2.428571428571429
0.26,2.361111111111111
0.27,2.2972972972972974
0.28,2.236842105263158
0.29000000000000004,2.1794871794871793
0.3,2.125
0.31,2.0731707317073167
0.32,2.0238095238095237
0.33,1.9767441860465114
0.34,1.9318181818181814
0.35000000000000003,1.8888888888888886
0.36000000000000004,1.8478260869565213
0.37,1.8085106382978724
0.38,1.7708333333333333
0.39,1.7346938775510203
0.4,1.7
0.41000000000000003,1.6666666666666665
0.42000000000000004,1.6346153846153846
0.43,1.6037735849056602
0.44,1.574074074074074
0.45,1.5454545454545452
0.46,1.5178571428571426
0.47000000000000003,1.4912280701754383
0.48000000000000004,1.46551724137931
0.49,1.4406779661016949
0.5,1.4166666666666667
0.51,1.3934426229508197
0.52,1.3709677419354838
0.53,1.349206349206349
0.54,1.328125
0.55,1.3076923076923077
0.56,1.2878787878787878
0.5700000000000001,1.2686567164179103
0.5800000000000001,1.2499999999999998
0.59,1.2318840579710146
0.6,1.2142857142857144
0.61,1.1971830985915493
0.62,1.1805555555555556
0.63,1.1643835616438356
0.64,1.1486486486486487
0.65,1.1333333333333333
0.66,1.118421052631579
0.67,1.103896103896104
0.68,1.0897435897435896
0.6900000000000001,1.0759493670886076
0.7000000000000001,1.0625
0.7100000000000001,1.0493827160493827
0.72,1.0365853658536586
0.73,1.0240963855421688
0.74,1.0119047619047619
0.75,1.0
0.76,0.9883720930232558
0.77,0.9770114942528736
0.78,0.9659090909090908
0.79,0.9550561797752809
0.8,0.9444444444444444
0.81,0.934065934065934
0.8200000000000001,0.9239130434782608
0.8300000000000001,0.9139784946236559
0.8400000000000001,0.9042553191489361
0.85,0.8947368421052632
0.86,0.8854166666666666
0.87,0.8762886597938144
0.88,0.8673469387755102
0.89,0.8585858585858586
0.9,0.85
0.91,0.8415841584158416
0.92,0.8333333333333333
0.93,0.8252427184466019
0.9400000000000001,0.8173076923076923
0.9500000000000001,0.8095238095238094
0.9600000000000001,0.8018867924528301
0.97,0.794392523364486
0.98,0.787037037037037
0.99,0.7798165137614678
1.0,0.7727272727272726
